id,family,series,designation,display_name,nominal_pipe_size,pitch_mm,tpi,profile_angle_deg,taper_ratio_diameter,taper_half_angle_deg,tap_drill_in,tap_drill_mm,radial_thread_depth_mm,is_default_pitch,tap_drill_basis,depth_basis,standard_reference,standard_source_url,tap_drill_source_url,data_version,verification_status
npt-1_8-27,npt,NPT,1/8,1/8-27 NPT,1/8,0.9407,27,60,1:16,1.78991,0.332000,8.433,0.7526,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1310201/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
npt-1_4-18,npt,NPT,1/4,1/4-18 NPT,1/4,1.4111,18,60,1:16,1.78991,0.437500,11.112,1.1289,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1310301/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
npt-3_8-18,npt,NPT,3/8,3/8-18 NPT,3/8,1.4111,18,60,1:16,1.78991,0.562500,14.287,1.1289,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1310400/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
npt-1_2-14,npt,NPT,1/2,1/2-14 NPT,1/2,1.8143,14,60,1:16,1.78991,0.703125,17.859,1.4514,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1310500/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
npt-3_4-14,npt,NPT,3/4,3/4-14 NPT,3/4,1.8143,14,60,1:16,1.78991,0.906250,23.019,1.4514,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1310600/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
npt-1-11.5,npt,NPT,1,1-11.5 NPT,1,2.2087,11.5,60,1:16,1.78991,1.140625,28.972,1.7670,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1310700/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
npt-1-1_4-11.5,npt,NPT,1 1/4,1 1/4-11.5 NPT,1 1/4,2.2087,11.5,60,1:16,1.78991,1.484375,37.703,1.7670,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1310801/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
npt-1-1_2-11.5,npt,NPT,1 1/2,1 1/2-11.5 NPT,1 1/2,2.2087,11.5,60,1:16,1.78991,1.718750,43.656,1.7670,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1310900/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
npt-2-11.5,npt,NPT,2,2-11.5 NPT,2,2.2087,11.5,60,1:16,1.78991,2.187500,55.562,1.7670,true,OSG Tap Drill Size Min for NPT pipe tap,0.800 * pitch_mm; NPT basic 60-degree thread height,ASME B1.20.1 NPT,https://www.asme.org/codes-standards/find-codes-standards/b1201-pipe-threads-general-purpose-inch,https://osgtool.com/1311000/,2026-08-19-v1,tap_drill_verified_against_osg; geometry_based_on_asme_b1.20.1
